Well_ID,Depth_m,WOB_klbs,RPM,Flow_Rate_gpm,Torque_kftlbs,Mud_Weight_ppg,Formation,Bit_Hours,ROP_m_hr
VOLVE_15_9_F1,2231.1,19.44,66.6,399.4,4.93,10.03,Shale,1.58,22.81
VOLVE_15_9_F1,2231.41,21.87,59.7,399.9,5.13,10.18,Shale,1.59,23.67
VOLVE_15_9_F1,2231.77,16.68,80.9,488.9,4.5,10.19,Shale,1.63,20.8
VOLVE_15_9_F1,2231.98,16.45,62.4,404.0,4.99,10.44,Shale,1.65,21.16
VOLVE_15_9_F1,2232.8,18.44,69.4,470.1,5.17,10.27,Shale,1.67,23.69
VOLVE_15_9_F1,2233.54,21.0,78.5,459.0,6.66,10.4,Shale,1.69,25.46
VOLVE_15_9_F1,2234.3,15.61,,469.6,2.1,10.29,Shale,1.72,19.59
VOLVE_15_9_F1,2235.13,14.77,90.1,473.3,4.4,10.16,Shale,1.76,23.53
VOLVE_15_9_F1,2235.69,21.0,95.5,417.1,5.73,10.27,Shale,1.77,25.31
VOLVE_15_9_F1,2236.35,17.44,76.2,415.5,4.68,10.35,Shale,1.79,22.92
VOLVE_15_9_F1,2236.66,17.97,77.9,483.1,3.66,10.42,Shale,1.8,23.02
VOLVE_15_9_F1,2236.95,14.31,92.5,429.3,3.12,10.23,Shale,1.84,22.01
VOLVE_15_9_F1,2237.69,17.25,73.7,344.5,5.63,10.0,Shale,1.89,22.9
VOLVE_15_9_F1,2238.26,18.93,72.7,480.4,3.89,9.99,Shale,1.92,23.46
VOLVE_15_9_F1,2238.91,21.28,102.4,413.0,3.34,10.2,Shale,1.96,25.53
VOLVE_15_9_F1,2239.73,17.03,97.7,473.2,6.03,9.9,Shale,2.0,26.01
VOLVE_15_9_F1,2240.43,23.11,93.4,510.2,6.03,10.52,Shale,2.02,26.76
VOLVE_15_9_F1,2241.08,17.25,98.3,455.2,4.89,10.34,Shale,2.04,22.86
VOLVE_15_9_F1,2241.72,17.26,54.7,494.3,3.28,10.15,Shale,2.07,21.98
VOLVE_15_9_F1,2242.17,22.81,104.7,460.6,5.49,10.08,Shale,2.09,28.53
VOLVE_15_9_F1,2242.39,19.5,90.3,518.0,6.57,10.4,Shale,2.12,26.86
VOLVE_15_9_F1,2242.94,17.59,99.6,412.0,3.14,10.08,Shale,2.14,24.31
VOLVE_15_9_F1,2243.31,18.59,90.2,454.2,3.15,10.1,Shale,2.17,21.83
VOLVE_15_9_F1,2243.84,22.36,85.1,481.4,4.54,10.13,Shale,2.2,24.98
VOLVE_15_9_F1,2244.72,22.64,80.3,446.9,5.21,10.27,Shale,2.22,24.48
VOLVE_15_9_F1,2245.11,16.94,89.9,500.6,4.28,10.34,Shale,2.24,23.85
VOLVE_15_9_F1,2245.36,18.88,79.7,437.2,5.67,10.43,Shale,2.28,25.07
VOLVE_15_9_F1,2245.78,19.21,97.4,537.3,6.5,10.41,Shale,2.32,24.83
VOLVE_15_9_F1,2246.22,16.52,60.6,539.4,4.73,10.25,Shale,2.33,24.25
VOLVE_15_9_F1,2246.95,18.85,76.3,465.8,5.51,10.4,Shale,2.34,23.18
VOLVE_15_9_F1,2247.59,19.0,115.1,476.6,5.76,10.15,Shale,2.36,25.43
VOLVE_15_9_F1,2248.42,21.84,75.0,502.2,5.1,9.98,Shale,2.37,26.08
VOLVE_15_9_F1,2249.15,22.02,80.8,407.0,3.64,10.15,Shale,2.38,25.09
VOLVE_15_9_F1,2249.68,18.18,71.1,402.0,3.47,10.13,Shale,2.4,22.56
VOLVE_15_9_F1,2250.53,18.47,89.4,504.8,3.38,10.16,Shale,2.44,23.56
VOLVE_15_9_F1,2250.86,20.66,73.3,465.5,4.78,10.11,Limestone,2.49,18.17
VOLVE_15_9_F1,2251.08,17.54,81.6,445.4,5.08,10.18,Limestone,2.53,16.1
VOLVE_15_9_F1,2251.35,20.48,97.1,454.9,3.56,10.34,Limestone,2.56,17.57
VOLVE_15_9_F1,2252.13,18.79,73.9,359.1,4.89,10.51,Limestone,2.6,16.1
VOLVE_15_9_F1,2252.7,16.59,96.2,446.9,3.89,9.99,Limestone,2.64,16.44
VOLVE_15_9_F1,2253.03,16.62,96.7,424.4,3.66,10.06,Limestone,2.69,18.14
VOLVE_15_9_F1,2253.63,22.63,100.2,491.2,4.79,10.13,Limestone,2.73,19.07
VOLVE_15_9_F1,2253.95,18.62,86.5,494.3,3.63,10.37,Limestone,2.77,17.4
VOLVE_15_9_F1,2254.71,23.12,133.0,,6.8,10.22,Limestone,2.81,20.47
VOLVE_15_9_F1,2255.26,17.74,100.2,470.3,4.9,10.14,Limestone,2.84,19.11
VOLVE_15_9_F1,2255.77,19.75,89.2,394.6,6.09,10.36,Limestone,2.86,16.89
VOLVE_15_9_F1,2256.21,25.01,71.2,478.1,4.79,10.4,Limestone,2.87,19.59
VOLVE_15_9_F1,2256.91,16.38,82.9,479.7,4.23,10.25,Limestone,2.9,17.75
VOLVE_15_9_F1,2257.4,14.29,105.8,504.3,7.12,10.13,Limestone,2.91,17.13
VOLVE_15_9_F1,2257.67,22.25,110.0,539.2,3.7,10.29,Limestone,2.93,20.15
VOLVE_15_9_F1,2257.97,16.96,106.5,386.8,6.67,10.22,Limestone,2.94,17.0
VOLVE_15_9_F1,2258.94,18.98,96.1,439.0,7.14,10.22,Limestone,2.96,18.93
VOLVE_15_9_F1,2259.86,17.57,65.5,424.8,5.48,10.18,Limestone,3.01,15.89
VOLVE_15_9_F1,2260.62,19.71,91.7,461.4,4.75,10.39,Limestone,3.04,17.56
VOLVE_15_9_F1,2261.04,16.67,65.7,455.1,6.2,10.29,Limestone,3.06,16.13
VOLVE_15_9_F1,2262.01,18.6,62.0,445.2,4.22,10.41,Limestone,3.08,14.31
VOLVE_15_9_F1,2262.84,20.18,87.9,495.6,4.29,10.45,Limestone,3.1,18.11
VOLVE_15_9_F1,2263.61,16.53,92.2,410.5,4.4,10.32,Limestone,3.14,17.21
VOLVE_15_9_F1,2264.17,17.31,97.9,412.9,4.34,10.18,Limestone,3.18,17.29
VOLVE_15_9_F1,2264.59,18.19,91.8,413.6,3.88,10.41,Limestone,3.19,17.9
VOLVE_15_9_F1,2264.86,15.49,92.3,440.1,6.11,10.32,Limestone,3.22,16.41
VOLVE_15_9_F1,2265.79,18.01,69.6,405.4,3.74,10.65,Limestone,3.23,15.23
VOLVE_15_9_F1,2266.35,19.36,82.8,452.6,4.95,10.3,Limestone,3.27,16.18
VOLVE_15_9_F1,2266.71,18.07,61.7,447.9,2.82,10.36,Limestone,3.31,15.19
VOLVE_15_9_F1,2267.16,18.39,54.3,423.1,4.51,10.3,Limestone,3.36,17.13
VOLVE_15_9_F1,2267.82,19.02,95.4,489.5,3.76,10.24,Limestone,3.38,18.32
VOLVE_15_9_F1,2268.16,17.43,73.0,452.2,3.25,10.22,Limestone,3.42,15.6
VOLVE_15_9_F1,2269.05,20.8,97.4,497.0,5.2,10.3,Limestone,3.46,17.89
VOLVE_15_9_F1,2269.85,22.67,101.0,446.7,6.82,10.33,Limestone,3.5,17.81
VOLVE_15_9_F1,2270.63,17.92,75.0,453.6,5.27,10.43,Limestone,3.52,15.82
VOLVE_15_9_F1,2271.17,20.3,93.2,432.0,5.84,10.3,Limestone,3.55,18.83
VOLVE_15_9_F1,2271.88,18.49,74.4,454.3,4.62,10.19,Limestone,3.57,16.31
VOLVE_15_9_F1,2272.54,20.0,56.6,483.0,4.25,10.21,Limestone,3.58,15.33
VOLVE_15_9_F1,2273.26,23.01,86.2,438.1,6.31,10.06,Limestone,3.62,17.86
VOLVE_15_9_F1,2273.53,20.37,77.3,475.3,4.32,10.51,Limestone,3.65,17.95
VOLVE_15_9_F1,2274.06,14.66,77.7,422.0,5.49,10.18,Limestone,3.67,15.6
VOLVE_15_9_F1,2274.3,20.23,113.9,484.9,7.01,10.4,Limestone,3.71,18.73
VOLVE_15_9_F1,2274.89,22.18,61.4,431.4,3.91,10.3,Limestone,3.74,16.25
VOLVE_15_9_F1,2275.36,18.55,90.1,488.6,4.19,10.3,Limestone,3.79,19.78
VOLVE_15_9_F1,2275.67,21.59,69.4,457.0,4.33,10.24,Limestone,3.83,18.59
VOLVE_15_9_F1,2275.95,17.38,97.9,515.4,3.27,10.14,Limestone,3.88,19.17
VOLVE_15_9_F1,2276.62,15.39,88.8,408.4,4.15,10.11,Limestone,3.92,14.22
VOLVE_15_9_F1,2276.96,19.46,90.0,395.5,6.66,10.52,Limestone,3.93,17.11
VOLVE_15_9_F1,2277.9,14.72,70.1,429.9,3.12,10.28,Limestone,3.94,14.2
VOLVE_15_9_F1,2278.57,18.51,72.8,399.2,6.35,10.43,Limestone,3.99,16.86
VOLVE_15_9_F1,2279.04,22.33,98.2,399.2,4.96,10.47,Limestone,4.01,19.19
VOLVE_15_9_F1,2279.72,14.34,110.9,479.4,7.49,10.2,Limestone,4.03,17.8
VOLVE_15_9_F1,2279.93,15.92,91.5,454.4,3.99,10.32,Limestone,4.07,15.6
VOLVE_15_9_F1,2280.9,16.54,70.8,435.4,4.38,10.27,Limestone,4.08,15.08
VOLVE_15_9_F1,2281.49,18.97,89.4,439.1,3.96,10.09,Limestone,4.1,17.95
VOLVE_15_9_F1,2282.31,18.21,120.7,430.7,4.62,10.23,Limestone,4.13,18.92
VOLVE_15_9_F1,2282.58,22.63,85.8,520.6,6.93,10.35,Limestone,4.16,19.31
VOLVE_15_9_F1,2283.17,21.52,106.2,425.1,6.1,10.19,Limestone,4.19,19.12
VOLVE_15_9_F1,2283.76,20.37,73.2,401.7,6.17,10.21,Limestone,4.21,16.97
VOLVE_15_9_F1,2284.71,19.5,83.7,486.4,3.43,10.24,Limestone,4.24,17.68
VOLVE_15_9_F1,2285.37,20.12,93.6,445.9,6.0,10.58,Limestone,4.25,18.54
VOLVE_15_9_F1,2285.95,16.99,90.2,536.1,3.72,9.99,Limestone,4.29,18.13
VOLVE_15_9_F1,2286.36,21.29,72.8,433.5,3.4,10.34,Limestone,4.3,16.86
VOLVE_15_9_F1,2286.83,16.37,72.1,488.4,4.84,10.22,Limestone,4.32,16.14
VOLVE_15_9_F1,2287.44,21.24,99.1,497.9,5.67,10.17,Limestone,4.36,18.94
VOLVE_15_9_F1,2287.99,22.12,102.2,433.7,5.59,10.22,Limestone,4.38,18.03
VOLVE_15_9_F1,2288.21,19.68,107.0,424.9,6.24,10.36,Limestone,4.42,17.45
VOLVE_15_9_F1,2289.07,18.72,111.3,484.2,6.4,10.37,Limestone,4.44,19.19
VOLVE_15_9_F1,2289.99,20.16,86.3,477.6,6.87,10.29,Limestone,4.46,17.29
VOLVE_15_9_F1,2290.3,12.01,79.6,398.2,2.85,10.43,Limestone,4.48,14.53
VOLVE_15_9_F1,2290.95,19.92,104.5,409.4,7.16,10.45,Limestone,4.53,17.99
VOLVE_15_9_F1,2291.23,18.88,95.0,353.1,7.38,10.39,Limestone,4.55,17.89
VOLVE_15_9_F1,2291.97,19.04,69.5,478.4,4.32,10.18,Limestone,4.57,17.18
VOLVE_15_9_F1,2292.39,20.94,68.8,444.1,2.91,10.34,Limestone,4.61,17.26
VOLVE_15_9_F1,2293.12,18.99,91.6,448.1,3.42,10.34,Limestone,4.63,16.57
VOLVE_15_9_F1,2293.9,16.33,81.6,386.9,4.14,10.14,Limestone,4.67,16.04
VOLVE_15_9_F1,2294.72,18.83,83.9,410.7,7.37,10.03,Limestone,4.72,17.94
VOLVE_15_9_F1,2295.0,19.35,100.4,435.5,5.27,9.96,Limestone,4.75,16.53
VOLVE_15_9_F1,2295.94,19.47,95.6,427.7,4.45,10.28,Limestone,4.78,19.17
VOLVE_15_9_F1,2296.32,19.59,104.2,459.3,4.5,10.31,Limestone,4.81,20.32
VOLVE_15_9_F1,2296.55,21.78,55.3,477.9,3.2,10.09,Limestone,4.85,17.15
VOLVE_15_9_F1,2297.2,16.47,88.1,545.4,5.85,10.42,Limestone,4.88,17.91
VOLVE_15_9_F1,2297.69,19.63,94.7,453.8,5.08,10.29,Limestone,4.9,18.29
VOLVE_15_9_F1,2298.56,22.42,61.4,499.2,7.46,10.47,Limestone,4.95,16.97
VOLVE_15_9_F1,2299.4,14.86,74.4,421.4,5.21,10.32,Limestone,5.0,15.0
VOLVE_15_9_F1,2299.86,19.65,71.6,387.6,5.84,10.11,Limestone,5.03,17.37
VOLVE_15_9_F1,2300.82,17.74,84.6,440.5,4.57,10.34,Limestone,5.05,15.55
VOLVE_15_9_F1,2301.25,18.28,108.7,390.7,3.97,10.37,Limestone,5.09,16.07
VOLVE_15_9_F1,2301.86,16.95,114.6,455.2,4.2,10.19,Limestone,5.13,17.06
VOLVE_15_9_F1,2302.27,18.79,72.0,423.4,3.13,10.05,Limestone,5.16,16.63
VOLVE_15_9_F1,2303.22,23.82,92.1,376.4,6.62,10.28,Limestone,5.18,17.43
VOLVE_15_9_F1,2303.55,16.05,92.6,524.0,4.37,10.12,Limestone,5.2,16.81
VOLVE_15_9_F1,2303.78,16.29,90.1,433.1,5.96,10.44,Limestone,5.23,16.2
VOLVE_15_9_F1,2304.33,15.96,90.2,389.1,4.95,10.21,Limestone,5.24,14.99
VOLVE_15_9_F1,2305.33,23.54,88.8,490.5,5.1,10.53,Limestone,5.28,16.13
VOLVE_15_9_F1,2306.24,18.07,109.5,425.5,3.87,9.95,Limestone,5.3,16.48
VOLVE_15_9_F1,2307.04,19.16,100.8,498.2,5.6,10.29,Limestone,5.32,18.4
VOLVE_15_9_F1,2307.95,18.22,68.3,425.3,4.4,10.48,Limestone,5.37,16.13
VOLVE_15_9_F1,2308.87,16.87,96.2,433.0,6.04,10.14,Limestone,5.39,17.43
VOLVE_15_9_F1,2309.48,18.65,97.6,468.4,4.28,10.25,Limestone,5.42,18.06
VOLVE_15_9_F1,2309.93,25.39,88.9,478.3,6.36,10.21,Limestone,5.46,18.7
VOLVE_15_9_F1,2310.75,22.72,101.2,485.4,7.53,10.17,Limestone,5.48,18.7
VOLVE_15_9_F1,2311.48,17.11,87.0,451.0,5.17,10.31,Limestone,5.52,16.91
VOLVE_15_9_F1,2311.98,20.87,87.2,475.8,6.13,10.08,Limestone,5.54,17.96
VOLVE_15_9_F1,2312.26,17.17,86.0,484.4,5.52,10.25,Limestone,5.56,17.75
VOLVE_15_9_F1,2313.05,14.81,53.9,462.6,6.42,10.35,Limestone,5.6,14.69
VOLVE_15_9_F1,2313.46,21.8,83.0,448.9,5.65,10.24,Limestone,5.62,18.94
VOLVE_15_9_F1,2314.41,22.16,74.2,396.8,5.95,10.12,Limestone,5.65,16.7
VOLVE_15_9_F1,2314.81,21.87,66.4,478.6,4.92,10.43,Limestone,5.67,17.8
VOLVE_15_9_F1,2315.1,18.09,105.7,456.3,4.28,10.38,Limestone,5.71,19.37
VOLVE_15_9_F1,2315.97,18.85,91.8,438.1,3.62,10.12,Limestone,5.72,16.9
VOLVE_15_9_F1,2316.29,21.14,83.8,505.7,6.68,10.08,Limestone,5.76,18.8
VOLVE_15_9_F1,2316.63,20.25,75.7,397.5,3.75,10.13,Limestone,5.8,15.31
VOLVE_15_9_F1,2317.31,18.29,88.6,520.4,5.87,10.35,Limestone,5.82,18.39
VOLVE_15_9_F1,2318.21,15.23,99.1,453.7,5.36,10.31,Limestone,5.84,17.45
VOLVE_15_9_F1,2318.57,19.56,71.8,467.3,5.94,10.39,Limestone,5.87,16.03
VOLVE_15_9_F1,2319.02,21.97,84.1,438.8,4.62,10.22,Limestone,5.9,18.07
VOLVE_15_9_F1,2319.84,16.29,97.2,388.0,3.98,10.13,Limestone,5.92,16.35
VOLVE_15_9_F1,2320.82,20.88,55.2,449.1,5.16,10.41,Limestone,5.96,15.92
VOLVE_15_9_F1,2321.42,20.11,83.3,468.0,4.71,10.19,Limestone,5.97,17.99
VOLVE_15_9_F1,2321.73,21.16,77.8,481.7,3.59,10.3,Limestone,5.99,17.66
VOLVE_15_9_F1,2321.95,21.47,82.2,446.7,7.49,10.04,Limestone,6.03,17.78
VOLVE_15_9_F1,2322.33,17.55,76.7,366.9,3.78,10.19,Limestone,6.04,16.12
VOLVE_15_9_F1,2322.63,15.25,86.3,393.0,3.47,10.43,Limestone,6.06,16.16
VOLVE_15_9_F1,2323.38,17.96,113.0,536.7,5.02,10.17,Limestone,6.1,17.76
VOLVE_15_9_F1,2323.67,21.52,79.3,410.9,6.63,10.4,Limestone,6.14,17.03
VOLVE_15_9_F1,2324.28,17.94,88.6,511.7,2.34,9.93,Limestone,6.15,15.13
VOLVE_15_9_F1,2325.03,17.57,114.1,417.3,6.7,10.19,Limestone,6.17,18.08
VOLVE_15_9_F1,2325.7,14.75,75.9,447.4,3.37,10.25,Limestone,6.19,16.15
VOLVE_15_9_F1,2326.06,23.69,111.4,479.7,6.12,10.54,Limestone,6.23,18.93
VOLVE_15_9_F1,2326.9,21.37,84.3,421.8,4.38,10.1,Limestone,6.26,17.21
VOLVE_15_9_F1,2327.67,,110.9,518.3,7.97,10.38,Limestone,6.29,19.12
VOLVE_15_9_F1,2328.47,21.73,95.4,457.7,5.54,10.43,Limestone,6.33,17.68
VOLVE_15_9_F1,2328.77,20.76,88.8,,4.35,10.17,Limestone,6.38,17.74
VOLVE_15_9_F1,2329.07,18.71,83.2,444.0,4.57,10.22,Limestone,6.4,15.7
VOLVE_15_9_F1,2330.01,18.91,74.8,481.0,4.93,10.3,Limestone,6.42,16.11
VOLVE_15_9_F1,2330.53,18.25,85.3,517.8,5.14,10.05,Limestone,6.44,16.32
VOLVE_15_9_F1,2330.97,25.91,97.6,449.4,6.32,10.21,Limestone,6.46,19.89
VOLVE_15_9_F1,2331.56,20.72,84.0,523.9,5.12,10.47,Limestone,6.48,17.87
VOLVE_15_9_F1,2332.29,18.17,79.4,430.2,3.17,10.36,Limestone,6.53,15.31
VOLVE_15_9_F1,2333.26,20.5,80.4,485.2,4.64,10.25,Limestone,6.55,17.07
VOLVE_15_9_F1,2333.69,16.81,99.1,474.2,5.73,10.29,Limestone,6.57,16.65
VOLVE_15_9_F1,2334.63,23.1,102.5,411.9,4.81,10.37,Limestone,6.6,19.2
VOLVE_15_9_F1,2334.85,17.69,74.2,463.2,5.51,10.39,Limestone,6.65,15.4
VOLVE_15_9_F1,2335.49,20.59,74.1,455.0,5.0,10.2,Limestone,6.67,17.37
VOLVE_15_9_F1,2336.2,22.01,89.8,420.5,5.07,10.51,Limestone,6.71,16.62
VOLVE_15_9_F1,2336.48,20.31,107.1,469.0,6.87,10.48,Limestone,6.75,19.0
VOLVE_15_9_F1,2336.79,19.58,101.3,460.5,3.2,10.38,Limestone,6.78,18.28
VOLVE_15_9_F1,2337.33,,65.4,451.8,3.91,10.15,Limestone,6.81,16.79
VOLVE_15_9_F1,2338.3,19.21,80.2,451.9,6.41,10.13,Limestone,6.84,18.38
VOLVE_15_9_F1,2338.98,17.91,70.2,451.1,6.86,10.23,Limestone,6.86,16.39
VOLVE_15_9_F1,2339.93,18.24,80.1,440.0,7.59,10.29,Limestone,6.89,17.67
VOLVE_15_9_F1,2340.77,23.06,108.2,460.3,5.76,10.01,Limestone,6.9,20.71
VOLVE_15_9_F1,2341.34,19.09,62.8,428.9,5.21,10.35,Limestone,6.94,14.32
VOLVE_15_9_F1,2342.17,17.4,59.9,561.0,5.45,10.47,Limestone,6.98,14.94
VOLVE_15_9_F1,2342.38,18.08,71.7,398.3,6.23,10.37,Limestone,7.0,13.93
VOLVE_15_9_F1,2342.67,22.12,88.5,431.3,5.69,10.18,Limestone,7.04,18.6
VOLVE_15_9_F1,2343.54,21.06,93.5,434.5,6.41,10.16,Limestone,7.05,16.16
VOLVE_15_9_F1,2344.37,20.78,90.7,536.3,5.78,10.33,Limestone,7.07,16.3
VOLVE_15_9_F1,2344.76,18.74,101.8,401.9,5.84,10.26,Limestone,7.11,15.81
VOLVE_15_9_F1,2345.38,20.81,57.7,471.7,3.64,10.35,Limestone,7.12,13.82
VOLVE_15_9_F1,2346.07,17.78,102.0,464.6,4.73,10.37,Limestone,7.16,17.02
VOLVE_15_9_F1,2346.96,18.74,79.5,468.0,4.25,10.45,Limestone,7.18,14.99
VOLVE_15_9_F1,2347.65,21.82,95.1,504.1,3.96,10.11,Limestone,7.23,16.46
VOLVE_15_9_F1,2348.18,21.58,64.3,503.3,2.92,10.32,Limestone,7.25,16.2
VOLVE_15_9_F1,2348.67,16.94,84.2,436.7,4.28,10.23,Limestone,7.28,15.67
VOLVE_15_9_F1,2349.22,17.26,87.7,462.5,4.55,10.27,Limestone,7.32,14.34
VOLVE_15_9_F1,2349.94,19.67,101.5,380.1,5.42,10.41,Limestone,7.35,16.14
VOLVE_15_9_F1,2350.83,23.72,60.3,458.7,5.71,10.43,Limestone,7.36,16.34
VOLVE_15_9_F1,2351.39,14.62,84.6,422.9,4.81,10.49,Limestone,7.41,14.34
VOLVE_15_9_F1,2351.79,20.1,67.8,447.2,4.52,10.35,Limestone,7.43,15.55
VOLVE_15_9_F1,2352.18,15.97,91.7,387.3,3.71,10.27,Limestone,7.45,16.5
VOLVE_15_9_F1,2352.98,17.83,95.8,470.9,6.09,10.25,Limestone,7.47,19.03
VOLVE_15_9_F1,2353.83,18.5,103.4,386.8,5.09,10.02,Limestone,7.51,16.42
VOLVE_15_9_F1,2354.12,18.37,76.1,460.6,4.27,10.49,Limestone,7.54,14.48
VOLVE_15_9_F1,2354.37,18.08,98.0,405.6,4.87,10.24,Limestone,7.58,16.15
VOLVE_15_9_F1,2355.04,19.44,104.5,420.7,4.44,10.36,Limestone,7.62,17.02
VOLVE_15_9_F1,2355.36,18.08,59.5,500.9,3.88,10.39,Limestone,7.63,15.02
VOLVE_15_9_F1,2356.22,15.77,93.3,478.2,4.14,10.1,Limestone,7.66,16.54
VOLVE_15_9_F1,2356.67,21.38,98.5,500.7,5.06,10.15,Limestone,7.67,20.27
VOLVE_15_9_F1,2356.98,21.31,80.2,517.1,5.91,10.52,Limestone,7.71,15.49
VOLVE_15_9_F1,2357.92,21.54,65.9,423.8,5.42,10.33,Limestone,7.72,15.53
VOLVE_15_9_F1,2358.25,15.58,98.2,514.7,6.73,10.2,Limestone,7.76,18.18
VOLVE_15_9_F1,2358.68,20.18,66.1,396.1,6.26,10.27,Limestone,7.79,15.09
VOLVE_15_9_F1,2359.0,21.13,81.4,484.6,7.47,10.45,Limestone,7.83,18.18
VOLVE_15_9_F1,2359.3,16.86,83.5,435.0,5.44,10.43,Limestone,7.85,16.22
VOLVE_15_9_F1,2359.51,19.46,94.8,417.5,5.83,10.07,Limestone,7.86,18.2
VOLVE_15_9_F1,2359.76,19.15,74.7,479.3,4.26,10.53,Limestone,7.91,17.84
VOLVE_15_9_F1,2360.1,24.05,73.8,492.5,6.26,10.43,Limestone,7.94,17.85
VOLVE_15_9_F1,2360.34,24.25,85.6,491.3,4.68,10.26,Limestone,7.97,16.18
